id,comment,company_id,car_id,user_id,created_at,updated_at,km,performed,status,payment_method_id,company_info,budget_id,deliver,deliver_actual
1466,,12,1206,1199,2011-10-13 18:06:05 -0300,2011-10-26 17:28:08 -0300,33121,2011-10-13,4,1,"",,,
1467,,12,1208,1199,2011-10-13 18:10:53 -0300,2011-10-22 08:31:20 -0300,114044,2011-10-13,4,1,"",,,
1471,,12,1210,1199,2011-10-13 18:57:41 -0300,2011-10-18 10:29:09 -0300,229952,2011-10-13,4,1,"",,,
1473,,12,1213,1199,2011-10-13 19:13:07 -0300,2011-10-22 08:24:15 -0300,94235,2011-10-13,4,1,"",,,
1476,,12,1213,1199,2011-10-13 19:25:09 -0300,2011-10-22 08:24:51 -0300,94235,2011-10-13,4,1,"",,,
1478,,12,1216,1199,2011-10-13 19:28:09 -0300,2011-10-15 09:36:54 -0300,250000,2011-10-13,4,1,"",,,
1486,,12,1223,1199,2011-10-14 09:26:08 -0300,2011-10-15 09:38:43 -0300,325142,2011-10-14,4,1,"",,,
1487,,12,1224,1199,2011-10-14 09:30:17 -0300,2011-10-22 08:29:34 -0300,140000,2011-10-14,4,1,"",,,
1489,,12,1225,1199,2011-10-14 09:41:44 -0300,2011-10-26 17:27:17 -0300,27640,2011-10-14,4,3,"",,,
1490,,12,1226,1199,2011-10-14 09:46:18 -0300,2011-10-22 08:26:25 -0300,87779,2011-10-14,4,1,"",,,
1492,,12,1229,1199,2011-10-14 09:54:38 -0300,2011-10-22 08:27:07 -0300,70902,2011-10-14,4,1,"",,,
1494,,12,1231,1199,2011-10-14 10:36:46 -0300,2011-10-22 08:18:11 -0300,238800,2011-10-14,4,1,"",,,
1497,,12,1231,1199,2011-10-14 11:41:16 -0300,2011-10-22 08:17:53 -0300,238800,2011-10-14,4,1,"",,,
1501,,12,1235,1199,2011-10-14 15:52:21 -0300,2011-10-26 17:25:57 -0300,39343,2011-10-14,4,1,"",,,
1502,,12,1237,1199,2011-10-14 16:25:14 -0300,2011-10-26 17:26:31 -0300,250000,2011-10-14,4,1,"",,,
1504,,12,392,1199,2011-10-14 16:27:39 -0300,2011-10-14 16:28:08 -0300,229993,2011-10-14,4,1,"",,,
1506,,12,1239,1199,2011-10-14 16:37:18 -0300,2011-10-14 16:37:18 -0300,126576,2011-10-14,4,3,"",,,
1507,,12,1240,1199,2011-10-14 16:40:30 -0300,2011-10-14 16:40:30 -0300,165430,2011-10-14,4,1,"",,,
1508,,12,1241,1199,2011-10-14 16:43:33 -0300,2011-10-14 16:43:33 -0300,166925,2011-10-14,4,1,"",,,
1509,,12,1242,1199,2011-10-14 16:50:29 -0300,2011-10-14 16:50:29 -0300,47537,2011-10-14,4,1,"",,,
1511,,12,1244,1199,2011-10-14 19:17:41 -0300,2011-10-22 08:20:33 -0300,173922,2011-10-14,4,3,"",,,
1527,,12,1257,1199,2011-10-15 11:18:41 -0300,2011-10-15 11:18:41 -0300,5453,2011-10-15,4,3,"",,,
1544,,12,1271,1199,2011-10-17 20:02:10 -0300,2011-10-22 08:23:01 -0300,218135,2011-10-17,4,1,"",,,
1553,,12,1210,1199,2011-10-18 10:07:25 -0300,2011-10-18 10:29:50 -0300,229952,2011-10-18,4,1,"",,,
1558,,12,1281,1199,2011-10-18 17:21:51 -0300,2011-10-18 17:21:51 -0300,1500,2011-10-18,4,1,"",,,
1566,,12,1267,1199,2011-10-19 08:53:21 -0300,2011-10-19 17:32:55 -0300,54985,2011-10-19,4,1,"",,,
1577,,12,1297,1199,2011-10-19 12:26:52 -0300,2011-10-19 12:26:52 -0300,20728,2011-10-19,4,1,"",,,
1580,,12,974,1199,2011-10-19 17:14:04 -0300,2011-10-22 08:21:53 -0300,120422,2011-10-19,4,3,"",,,
1581,,12,1300,1199,2011-10-19 17:28:58 -0300,2011-10-19 20:12:34 -0300,84239,2011-10-19,4,1,"",,,
1594,,12,1308,1200,2011-10-20 09:01:58 -0300,2011-10-22 08:34:41 -0300,148879,2011-10-20,4,1,"",,,
1595,,12,1307,1199,2011-10-20 09:07:01 -0300,2011-10-24 11:41:29 -0300,570000,2011-10-20,4,3,"",,,
1596,,12,1309,1199,2011-10-20 10:34:08 -0300,2011-10-26 17:24:14 -0300,256540,2011-10-20,4,1,"",,,
1603,,12,1318,1199,2011-10-20 11:58:01 -0300,2011-10-26 17:24:45 -0300,29500,2011-10-20,4,3,"",,,
1611,,12,1323,1199,2011-10-20 19:00:10 -0300,2011-10-26 17:25:08 -0300,100000,2011-10-20,4,1,"",,,
1612,,12,1324,1199,2011-10-20 19:04:41 -0300,2011-10-22 08:19:01 -0300,196000,2011-10-20,4,1,"",,,
1613,,12,1325,1199,2011-10-20 19:16:14 -0300,2011-10-20 20:32:56 -0300,150000,2011-10-20,4,1,"",,,
1620,,12,1328,1199,2011-10-21 10:03:43 -0300,2011-10-22 08:30:24 -0300,98335,2011-10-21,4,1,"",,,
1621,,12,1330,1199,2011-10-21 10:11:02 -0300,2011-10-24 11:42:31 -0300,60000,2011-10-21,4,1,"",,,
1624,,12,1334,1199,2011-10-21 11:19:53 -0300,2011-10-21 17:36:53 -0300,232005,2011-10-21,4,1,"",,,
1629,,12,1339,1199,2011-10-21 16:54:13 -0300,2011-10-22 08:19:39 -0300,100000,2011-10-21,4,1,"",,,
1639,,12,1346,1199,2011-10-21 19:36:05 -0300,2011-10-22 08:25:22 -0300,88207,2011-10-21,4,1,"",,,
1648,,12,1307,1199,2011-10-22 09:25:05 -0300,2011-10-24 11:40:58 -0300,570000,2011-10-22,4,3,"",,,
1651,,12,1356,1199,2011-10-22 09:47:37 -0300,2011-10-22 13:32:37 -0300,107885,2011-10-22,4,1,"",,,
1655,,12,1359,1199,2011-10-22 10:50:19 -0300,2011-10-22 13:33:10 -0300,84900,2011-10-22,4,1,"",,,
1663,,12,1365,1199,2011-10-22 12:09:48 -0300,2011-10-22 13:26:53 -0300,176060,2011-10-22,4,1,"",,,
1667,,12,1368,1199,2011-10-22 12:37:48 -0300,2011-10-22 13:33:36 -0300,200000,2011-10-22,4,1,"",,,
1668,,12,1370,1199,2011-10-22 12:46:39 -0300,2011-10-22 12:46:39 -0300,121777,2011-10-22,4,1,"",,,
1670,,12,1371,1199,2011-10-24 08:58:32 -0300,2011-10-24 11:40:16 -0300,488000,2011-10-24,4,3,"",,,
1672,,12,1372,1199,2011-10-24 09:53:02 -0300,2011-10-24 11:39:45 -0300,100000,2011-10-24,4,1,"",,,
1685,,12,1381,1199,2011-10-24 12:11:27 -0300,2011-10-24 13:12:23 -0300,260000,2011-10-24,4,1,"",,,
1687,,12,1382,1200,2011-10-24 12:16:04 -0300,2011-10-26 17:21:17 -0300,43268,2011-10-24,4,1,"",,,
1690,,12,1386,1199,2011-10-24 17:10:39 -0300,2011-10-26 19:16:47 -0300,150000,2011-10-24,4,1,"",,,
1695,,12,1391,1199,2011-10-24 18:48:12 -0300,2011-10-26 17:22:37 -0300,250000,2011-10-24,4,3,"",,,
1697,,12,1393,1199,2011-10-24 19:27:09 -0300,2011-10-26 17:23:06 -0300,74688,2011-10-24,4,1,"",,,
1707,,12,1401,1199,2011-10-25 09:18:29 -0300,2011-10-26 17:17:50 -0300,300000,2011-10-25,4,3,"",,,
1710,,12,1386,1199,2011-10-25 11:33:51 -0300,2011-10-26 19:16:15 -0300,150000,2011-10-25,4,3,"",,,
1712,,12,1405,1199,2011-10-25 11:59:59 -0300,2011-10-26 17:19:56 -0300,80131,2011-10-25,4,1,"",,,
1713,,12,1406,1200,2011-10-25 17:39:44 -0300,2011-10-26 17:20:32 -0300,89000,2011-10-25,4,1,"",,,
1724,,12,1417,1199,2011-10-26 09:23:15 -0300,2011-10-26 17:16:53 -0300,250000,2011-10-26,4,1,"",,,
1726,,12,1419,1199,2011-10-26 11:29:41 -0300,2011-10-26 17:17:16 -0300,100000,2011-10-26,4,3,"",,,
1735,,12,1429,1199,2011-10-26 17:12:00 -0300,2011-10-26 17:16:21 -0300,87362,2011-10-26,4,4,"",,,
1739,,12,1434,1199,2011-10-26 19:21:56 -0300,2011-10-26 19:21:56 -0300,300000,2011-10-26,4,1,"",,,
1745,,12,1439,1199,2011-10-26 19:47:37 -0300,2011-10-26 20:08:39 -0300,300000,2011-10-26,4,1,"",,,
1751,,12,1444,1199,2011-10-27 09:17:51 -0300,2011-10-27 10:08:52 -0300,270000,2011-10-27,4,3,"",,,
1752,,12,1445,1199,2011-10-27 10:22:56 -0300,2011-10-27 12:16:15 -0300,42000,2011-10-27,4,1,"",,,
1754,,12,1386,1199,2011-10-27 12:20:57 -0300,2011-10-27 17:50:38 -0300,150000,2011-10-27,4,1,"",,,
1757,,12,1328,1199,2011-10-27 16:29:05 -0300,2011-10-29 11:26:45 -0300,98335,2011-10-27,4,1,"",,,
1761,,12,1453,1199,2011-10-27 18:14:18 -0300,2011-10-27 19:51:38 -0300,100000,2011-10-27,4,1,"",,,
1762,,12,1450,1200,2011-10-27 19:10:25 -0300,2011-10-29 11:27:17 -0300,1,2011-10-27,4,1,"",,,
1765,,12,1455,1199,2011-10-28 08:28:11 -0300,2011-10-28 10:33:08 -0300,131865,2011-10-28,4,1,"",,,
1769,,12,1457,1199,2011-10-28 10:24:46 -0300,2011-10-29 10:07:01 -0300,500000,2011-10-28,4,4,"",,,
1778,,12,1463,1199,2011-10-28 16:55:49 -0300,2011-10-29 10:07:23 -0300,140739,2011-10-28,4,1,"",,,
1781,,12,1466,1199,2011-10-28 18:07:58 -0300,2011-10-29 10:08:15 -0300,86000,2011-10-28,4,1,"",,,
1784,,12,1468,1199,2011-10-28 18:17:40 -0300,2011-10-29 10:08:57 -0300,500000,2011-10-28,4,1,"",,,
1787,,12,1471,1199,2011-10-28 19:20:23 -0300,2011-10-29 10:09:28 -0300,250000,2011-10-28,4,1,"",,,
1788,,12,1472,1199,2011-10-28 19:40:53 -0300,2011-10-28 19:40:53 -0300,160000,2011-10-28,4,1,"",,,
1790,,12,1474,1199,2011-10-28 20:10:15 -0300,2011-10-29 11:26:15 -0300,100000,2011-10-28,4,1,"",,,
1802,,12,1484,1199,2011-10-29 09:43:08 -0300,2011-10-29 10:07:46 -0300,147770,2011-10-29,4,1,"",,,
1809,,12,1489,1199,2011-10-29 11:54:59 -0300,2011-10-29 11:54:59 -0300,420000,2011-10-29,4,1,"",,,
1817,,12,1495,1199,2011-10-31 09:18:49 -0300,2011-10-31 19:05:26 -0300,10000,2011-10-31,4,3,"",,,
1823,,12,1372,1199,2011-10-31 11:19:39 -0300,2011-10-31 19:58:19 -0300,80000,2011-10-31,4,3,"",,,
1824,,12,1455,1199,2011-10-31 11:26:41 -0300,2011-11-01 20:35:21 -0300,131865,2011-10-31,4,1,"",,,
1825,,12,1500,1199,2011-10-31 11:57:27 -0300,2011-11-01 20:36:05 -0300,286858,2011-10-31,4,1,"",,,
1826,,12,1501,1199,2011-10-31 12:00:44 -0300,2011-10-31 12:41:41 -0300,200000,2011-10-31,4,1,"",,,
1833,,12,1507,1199,2011-10-31 19:01:19 -0300,2011-11-01 20:36:35 -0300,73381,2011-10-31,4,3,"",,,
1847,,12,1517,1199,2011-11-01 09:27:59 -0300,2011-11-01 09:41:29 -0300,105000,2011-11-01,4,1,"",,,
1850,,12,1520,1199,2011-11-01 11:12:37 -0300,2011-11-01 11:55:50 -0300,150000,2011-11-01,4,3,"",,,
1860,,12,1529,1199,2011-11-01 18:09:07 -0300,2011-11-01 20:17:32 -0300,53000,2011-11-01,4,3,"",,,
1862,,12,1531,1200,2011-11-01 18:24:08 -0300,2011-11-01 20:18:25 -0300,48516,2011-11-01,4,1,"",,,
1863,,12,1532,1199,2011-11-01 18:26:59 -0300,2011-11-01 20:30:45 -0300,200000,2011-11-01,4,3,"",,,
1866,,12,1535,1199,2011-11-01 19:08:35 -0300,2011-11-01 20:25:15 -0300,400000,2011-11-01,4,1,"",,,
1869,,12,1537,1199,2011-11-01 19:26:16 -0300,2011-11-18 08:10:00 -0300,12500,2011-11-01,4,1,"",,,
1870,,12,1538,1199,2011-11-01 19:47:16 -0300,2011-11-01 20:31:27 -0300,130000,2011-11-01,4,1,"",,,
1871,,12,1539,1199,2011-11-01 20:05:16 -0300,2011-11-03 11:33:00 -0300,250000,2011-11-01,4,3,"",,,
1888,,12,1550,1199,2011-11-02 17:01:07 -0300,2011-11-02 17:27:56 -0300,60000,2011-11-02,4,1,"",,,
1893,,12,1555,1199,2011-11-02 17:59:37 -0300,2011-11-03 11:30:35 -0300,20211,2011-11-02,4,1,"",,,
1914,,12,1571,1199,2011-11-03 10:24:25 -0300,2011-11-03 11:32:30 -0300,7200,2011-11-03,4,1,"",,,
1915,,12,1572,1199,2011-11-03 10:30:01 -0300,2011-11-03 11:29:26 -0300,64040,2011-11-03,4,1,"",,,
1919,,12,1576,1199,2011-11-03 12:02:04 -0300,2011-11-03 12:35:41 -0300,1111,2011-11-03,4,1,"",,,
1923,,12,1579,1199,2011-11-04 09:22:16 -0300,2011-11-04 12:06:25 -0300,81000,2011-11-04,4,1,"",,,
1927,,12,753,1199,2011-11-04 10:24:47 -0300,2011-11-04 12:05:00 -0300,70049,2011-11-04,4,1,"",,,
1931,,12,854,1199,2011-11-04 12:24:50 -0300,2011-11-04 20:29:12 -0300,50110,2011-11-04,4,1,"",,,
1933,,12,753,1199,2011-11-04 12:31:25 -0300,2011-11-18 08:09:15 -0300,70049,2011-11-04,4,1,"",,,
1940,,12,1591,1199,2011-11-04 16:43:07 -0300,2011-11-04 16:43:07 -0300,180000,2011-11-04,4,1,"",,,
1948,,12,1599,1200,2011-11-04 18:40:01 -0300,2011-11-05 12:52:12 -0300,200000,2011-11-04,4,1,"",,,
1950,,12,1597,1199,2011-11-04 19:13:59 -0300,2011-11-04 20:30:14 -0300,137000,2011-11-04,4,3,"",,,
1954,,12,1604,1199,2011-11-04 20:11:53 -0300,2011-11-05 12:48:18 -0300,246000,2011-11-04,4,1,"",,,
1958,,12,1603,4,2011-11-05 07:49:47 -0300,2011-11-05 07:49:47 -0300,96955,2011-11-04,4,1,"",,,
1963,,12,1531,1199,2011-11-05 09:09:43 -0300,2011-11-05 12:48:47 -0300,48516,2011-11-05,4,1,"",,,
1964,,12,1610,1199,2011-11-05 09:13:01 -0300,2011-11-21 08:30:49 -0300,68250,2011-11-05,4,1,"",,,
1965,,12,1471,1199,2011-11-05 09:49:36 -0300,2011-11-05 12:49:24 -0300,250000,2011-11-05,4,1,"",,,
1968,,12,1612,1199,2011-11-05 10:23:15 -0300,2011-11-05 12:49:47 -0300,200000,2011-11-05,4,1,"",,,
1970,,12,1614,1199,2011-11-05 10:43:49 -0300,2011-11-05 12:50:22 -0300,4000,2011-11-05,4,3,"",,,
1971,,12,1615,1199,2011-11-05 12:07:09 -0300,2011-11-05 13:13:35 -0300,11000,2011-11-05,4,3,"",,,
1972,,12,1616,1199,2011-11-05 12:38:24 -0300,2011-11-05 12:50:55 -0300,137000,2011-11-05,4,1,"",,,
1984,,12,1624,1199,2011-11-07 09:26:11 -0300,2011-11-07 11:42:06 -0300,38000,2011-11-07,4,1,"",,,
1985,,12,1625,1200,2011-11-07 09:33:40 -0300,2011-11-07 11:45:30 -0300,220000,2011-11-07,4,1,"",,,
1997,,12,1631,1199,2011-11-07 17:56:17 -0300,2011-11-07 18:37:41 -0300,63000,2011-11-07,4,1,"",,,
2003,,12,1634,1199,2011-11-07 18:29:20 -0300,2011-11-07 18:34:02 -0300,216740,2011-11-07,4,3,"",,,
2009,,12,1640,1199,2011-11-07 19:39:41 -0300,2011-11-07 19:55:10 -0300,207247,2011-11-07,4,3,"",,,
2019,,12,1242,1199,2011-11-08 11:18:04 -0300,2011-11-15 08:58:45 -0300,47537,2011-11-08,4,1,"",,,
2021,,12,1649,1199,2011-11-08 11:39:30 -0300,2011-11-08 11:39:30 -0300,235000,2011-11-08,4,3,"",,,
2040,,12,1664,1199,2011-11-08 20:21:06 -0300,2011-11-08 20:41:19 -0300,18900,2011-11-08,4,3,"",,,
2050,,12,1579,1199,2011-11-09 11:31:47 -0300,2011-11-09 11:38:09 -0300,81000,2011-11-09,4,1,"",,,
2062,,12,1692,1199,2011-11-11 11:12:20 -0300,2011-11-11 11:13:11 -0300,95000,2011-11-11,4,1,"",,,
2065,,12,1695,1199,2011-11-11 11:33:36 -0300,2011-11-11 19:08:34 -0300,220000,2011-11-11,4,1,"",,,
2072,,12,1686,1199,2011-11-11 12:21:01 -0300,2011-11-11 12:21:01 -0300,189919,2011-11-11,4,1,"",,,
2073,,12,1684,1199,2011-11-11 12:22:21 -0300,2011-11-11 12:22:21 -0300,36000,2011-11-11,4,1,"",,,
2083,,12,1690,1199,2011-11-11 16:58:07 -0300,2011-11-11 16:58:07 -0300,300000,2011-11-11,4,1,"",,,
2085,,12,1708,1199,2011-11-11 17:40:56 -0300,2011-11-11 18:07:21 -0300,165645,2011-11-11,4,1,"",,,
2103,,12,1714,1199,2011-11-12 10:17:46 -0300,2011-11-12 10:17:46 -0300,195000,2011-11-12,4,1,"",,,
2111,,12,1728,1199,2011-11-12 11:44:36 -0300,2011-11-12 12:48:11 -0300,250000,2011-11-12,4,3,"",,,
2112,,12,1729,1199,2011-11-12 12:01:06 -0300,2011-11-15 08:56:39 -0300,60000,2011-11-12,4,1,"",,,
2123,,12,1738,1199,2011-11-14 10:51:10 -0300,2011-11-18 08:07:47 -0300,159000,2011-11-14,4,3,"",,,
2130,,12,1744,1199,2011-11-14 17:06:52 -0300,2011-11-15 08:57:27 -0300,130000,2011-11-14,4,2,"",,,
2138,,12,1690,1199,2011-11-14 19:58:34 -0300,2011-11-15 08:58:02 -0300,300000,2011-11-14,4,1,"",,,
2139,,12,1749,1199,2011-11-14 20:45:08 -0300,2011-11-14 20:51:04 -0300,46000,2011-11-14,4,1,"",,,
2143,,12,1752,1199,2011-11-15 09:57:19 -0300,2011-11-15 12:42:16 -0300,500000,2011-11-15,4,3,"",,,
2144,,12,1754,4,2011-11-15 10:04:50 -0300,2011-11-15 12:44:05 -0300,156859,2011-11-15,4,1,"",,,
2146,,12,392,1199,2011-11-15 11:22:09 -0300,2011-11-15 12:41:29 -0300,229993,2011-11-15,4,1,"",,,
