brand	model
Acura	Integra
Aleko	Integra
Alfa Romeo	2119
Alfa Romeo	2141
Alfa Romeo	2335
AM General	2119
AM General	2141
AM General	2335
Aro	Hummer
Alfa Romeo	2119
Alfa Romeo	2141
Alfa Romeo	2335
AM General	145
AM General	146
AM General	147
AM General	155
AM General	156
AM General	159
AM General	164
AM General	2000
AM General	33
AM General	Giulietta
AM General	Mito
AM General	Zagato
Aro	145
Aro	146
Aro	147
Aro	155
Aro	156
Aro	159
Aro	164
Aro	2000
Aro	33
Aro	Giulietta
Aro	Mito
Aro	Zagato
Asia	246
Audi	Towner
Autounion	Towner
Beijing	DKW
BMW	BJ
Chery	BJ
Chevrolet	Face
Chevrolet	QQ
Chevrolet	Skin
Chevrolet	Tiggo
Chrysler	1936
Chrysler	400
Chrysler	Agile
Chrysler	Apache
Chrysler	Astra
Chrysler	Aveo
Chrysler	Blazer
Chrysler	C-10
Chrysler	C-20
Chrysler	Captiva
Chrysler	Celta
Chrysler	Chevelle
Chrysler	chevette
Chrysler	Chevron
Chrysler	Chevy
Chrysler	Classic
Chrysler	Cobalt
Chrysler	Combo
Chrysler	Corsa
Chrysler	Corsa II
Chrysler	Corsa Pick-up
Chrysler	Corsa Wagon
Chrysler	Corvette
Chrysler	Cruze
Chrysler	D-20
Chrysler	Grand Vitara
Chrysler	Grand Blazer
Chrysler	Impala
Chrysler	Ipanema
Chrysler	LUV
Chrysler	Meriva
Chrysler	MONTANA
Chrysler	Monza
Chrysler	Onix
Chrysler	P-10
Chrysler	Prisma
Chrysler	S-10
Chrysler	Silverado
Chrysler	Sonic
Chrysler	Spark
Chrysler	Spin
Chrysler	Suburban
Chrysler	Tahoe
Chrysler	Tigra
Chrysler	Vectra
Chrysler	Zafira
Citroen	1936
Citroen	400
Citroen	Agile
Citroen	Apache
Citroen	Astra
Citroen	Aveo
Citroen	Blazer
Citroen	C-10
Citroen	C-20
Citroen	Captiva
Citroen	Celta
Citroen	Chevelle
Citroen	chevette
Citroen	Chevron
Citroen	Chevy
Citroen	Classic
Citroen	Cobalt
Citroen	Combo
Citroen	Corsa
Citroen	Corsa II
Citroen	Corsa Pick-up
Citroen	Corsa Wagon
Citroen	Corvette
Citroen	Cruze
Citroen	D-20
Citroen	Grand Vitara
Citroen	Grand Blazer
Citroen	Impala
Citroen	Ipanema
Citroen	LUV
Citroen	Meriva
Citroen	MONTANA
Citroen	Monza
Citroen	Onix
Citroen	P-10
Citroen	Prisma
Citroen	S-10
Citroen	Silverado
Citroen	Sonic
Citroen	Spark
Citroen	Spin
Citroen	Suburban
Citroen	Tahoe
Citroen	Tigra
Citroen	Vectra
Citroen	Zafira
Daewoo	3CV
Daewoo	AMI
Daewoo	Berlingo
Daewoo	C15
Daewoo	C3
Daewoo	C3 AIRCROSS
Daewoo	C3 PICASSO
Daewoo	C4
Daewoo	C4 Picasso
Daewoo	C5
Daewoo	DS3
Daewoo	DS4
Daewoo	Grand C4
